id,name,url,search_url,source_type,cc_free,direct_play
14,DI.FM,https://www.di.fm/,https://www.di.fm/search?q=,3,0,0
15,Earbits,https://www.earbits.com/,,3,0,0
18,Mixcloud,https://www.mixcloud.com/,,3,0,1
20,Radio4000,https://radio4000.com/,https://radio4000.com/search?search=,3,0,1
21,SomaFM,http://somafm.com/player/#/all-stations,,3,0,1
28,Jamendo Music,https://www.jamendo.com/radios,https://www.jamendo.com/search?q=,3,0,1
47,Internet Radio,https://www.internet-radio.com/,https://www.internet-radio.com/search/?radio=,3,0,1
48,KEXP,http://kexp.org/,http://kexp.org/ksearch/?q=,3,0,1
49,KCRW,https://www.kcrw.com/,https://www.kcrw.com/@@search?q=,3,0,1
50,XRAY.FM,https://xray.fm/,,3,0,1
51,Dublab,http://dublab.com/,http://dublab.com/?s=,3,0,1
52,KUTX,http://kutx.org/wp-content/media_player_2/,http://kutx.org/?s=,3,0,1
53,WFMU,https://wfmu.org/,,3,0,1
54,BBC RAdio 6,https://www.bbc.co.uk/6music,,3,0,1
55,NPR Radio,https://www.npr.org/music/,https://www.npr.org/search?query=,3,0,1
56,WWOZ,https://www.wwoz.org/listen/player/,,3,0,1
57,WQXR,https://www.wqxr.org/,,3,0,1
58,KUSF,http://www.kusf.org/,,3,0,1
59,Berlin Community Radio,http://www.berlincommunityradio.com/,,3,0,1
60,Tune In,https://tunein.com/,https://tunein.com/search/?query=,3,0,1
61,Radio Free Brooklyn,https://v4.mystreamplayer.com/radiofreebrooklyn,,3,0,1
62,NTS Radio,https://www.nts.live/,https://www.nts.live/find?q=,3,0,1
63,Radio Musical De Cuba,http://www.cmbfradio.cu/,https://icecast.teveo.icrt.cu/Nbtz7HT3,3,0,1
64,Cinemix,https://www.cinemix.us/,,3,0,1
