id,name,url,search_url,source_type,cc_free,direct_play
29,Landr,https://samples.landr.com/,,2,1,1
30,BBC Sound Effects,http://bbcsfx.acropolis.org.uk,http://bbcsfx.acropolis.org.uk/?q=,2,0,1
31,Sample Focus,https://samplefocus.com/,https://samplefocus.com/samples?utf8=✓&search=,2,1,1
32,Bedroom Producers Blog,https://bedroomproducersblog.com/tag/free-samples/,,2,1,1
33,Sample Swap,https://sampleswap.org/,https://sampleswap.org/filebrowser-new.php?q=,2,0,1
34,Freesound,https://freesound.org/,https://freesound.org/search/?q=,2,0,1
35,Looperman,https://www.looperman.com/,https://www.looperman.com/loops?page=1&keys=df&order=date&dir=,2,1,1
36,NASA Audio Collection,https://archive.org/details/nasaaudiocollection,,2,0,1
37,Converse Rubber Tracks,https://www.conversesamplelibrary.com/,,2,1,1
38,Sample Radar,https://www.musicradar.com/news/tech/free-music-samples-download-loops-hits-and-multis-627820,,2,1,0
39,BBC 1Xtra Sample Bank,http://www.bbc.co.uk/1xtra/1xmusic/sample/,https://www.bbc.co.uk/search?q=,2,0,1
40,Samplephonics,https://www.samplephonics.com/products/sample-packs,,2,0,1
41,Noizz,https://app.noiiz.com/sounds/free_packs,https://app.noiiz.com/sounds/samples?utf8=✓&q=,2,0,0
42,Audio Micro,https://www.audiomicro.com/,https://www.audiomicro.com/tracks/search?query=,2,0,1
43,FreeSFX,https://www.freesfx.co.uk,,2,0,1
44,Sound Bible,http://soundbible.com/,,2,1,1
45,Sound Jay,https://www.soundjay.com/,,2,1,1
